month,measure,state,sector,value
1/1/2001,million kilowatthours,Connecticut,residential,1300
1/1/2001,million kilowatthours,Connecticut,commercial,1050
1/1/2001,million kilowatthours,Connecticut,industrial,361
1/1/2001,million kilowatthours,Connecticut,transportation,NA
1/1/2001,million kilowatthours,Connecticut,other,50
1/1/2001,million kilowatthours,Maine,residential,387
1/1/2001,million kilowatthours,Maine,commercial,406
1/1/2001,million kilowatthours,Maine,industrial,274
1/1/2001,million kilowatthours,Maine,transportation,NA
1/1/2001,million kilowatthours,Maine,other,5
1/1/2001,million kilowatthours,Massachusetts,residential,1815
1/1/2001,million kilowatthours,Massachusetts,commercial,2032
1/1/2001,million kilowatthours,Massachusetts,industrial,754
1/1/2001,million kilowatthours,Massachusetts,transportation,NA
1/1/2001,million kilowatthours,Massachusetts,other,58
1/1/2001,million kilowatthours,New Hampshire,residential,405
1/1/2001,million kilowatthours,New Hampshire,commercial,356
1/1/2001,million kilowatthours,New Hampshire,industrial,204
1/1/2001,million kilowatthours,New Hampshire,transportation,NA
1/1/2001,million kilowatthours,New Hampshire,other,11
1/1/2001,million kilowatthours,Rhode Island,residential,257
1/1/2001,million kilowatthours,Rhode Island,commercial,261
1/1/2001,million kilowatthours,Rhode Island,industrial,110
1/1/2001,million kilowatthours,Rhode Island,transportation,NA
1/1/2001,million kilowatthours,Rhode Island,other,6
1/1/2001,million kilowatthours,Vermont,residential,209
1/1/2001,million kilowatthours,Vermont,commercial,169
1/1/2001,million kilowatthours,Vermont,industrial,141
1/1/2001,million kilowatthours,Vermont,transportation,NA
1/1/2001,million kilowatthours,Vermont,other,4
1/1/2001,million kilowatthours,New Jersey,residential,2338
1/1/2001,million kilowatthours,New Jersey,commercial,2859
1/1/2001,million kilowatthours,New Jersey,industrial,1062
1/1/2001,million kilowatthours,New Jersey,transportation,NA
1/1/2001,million kilowatthours,New Jersey,other,50
1/1/2001,million kilowatthours,New York,residential,4175
1/1/2001,million kilowatthours,New York,commercial,5313
1/1/2001,million kilowatthours,New York,industrial,2041
1/1/2001,million kilowatthours,New York,transportation,NA
1/1/2001,million kilowatthours,New York,other,1218
1/1/2001,million kilowatthours,Pennsylvania,residential,5113
1/1/2001,million kilowatthours,Pennsylvania,commercial,3647
1/1/2001,million kilowatthours,Pennsylvania,industrial,3793
1/1/2001,million kilowatthours,Pennsylvania,transportation,NA
1/1/2001,million kilowatthours,Pennsylvania,other,154
1/1/2001,million kilowatthours,Illinois,residential,4276
1/1/2001,million kilowatthours,Illinois,commercial,3693
1/1/2001,million kilowatthours,Illinois,industrial,3489
1/1/2001,million kilowatthours,Illinois,transportation,NA
1/1/2001,million kilowatthours,Illinois,other,924
1/1/2001,million kilowatthours,Indiana,residential,3399
1/1/2001,million kilowatthours,Indiana,commercial,2117
1/1/2001,million kilowatthours,Indiana,industrial,3489
1/1/2001,million kilowatthours,Indiana,transportation,NA
1/1/2001,million kilowatthours,Indiana,other,43
1/1/2001,million kilowatthours,Michigan,residential,3178
1/1/2001,million kilowatthours,Michigan,commercial,2911
1/1/2001,million kilowatthours,Michigan,industrial,2686
1/1/2001,million kilowatthours,Michigan,transportation,NA
1/1/2001,million kilowatthours,Michigan,other,85
1/1/2001,million kilowatthours,Ohio,residential,5433
1/1/2001,million kilowatthours,Ohio,commercial,3420
1/1/2001,million kilowatthours,Ohio,industrial,5543
1/1/2001,million kilowatthours,Ohio,transportation,NA
1/1/2001,million kilowatthours,Ohio,other,282
1/1/2001,million kilowatthours,Wisconsin,residential,1995
1/1/2001,million kilowatthours,Wisconsin,commercial,1546
1/1/2001,million kilowatthours,Wisconsin,industrial,2084
1/1/2001,million kilowatthours,Wisconsin,transportation,NA
1/1/2001,million kilowatthours,Wisconsin,other,65
1/1/2001,million kilowatthours,Iowa,residential,1197
1/1/2001,million kilowatthours,Iowa,commercial,708
1/1/2001,million kilowatthours,Iowa,industrial,1305
1/1/2001,million kilowatthours,Iowa,transportation,NA
1/1/2001,million kilowatthours,Iowa,other,190
1/1/2001,million kilowatthours,Kansas,residential,1085
1/1/2001,million kilowatthours,Kansas,commercial,1008
1/1/2001,million kilowatthours,Kansas,industrial,840
1/1/2001,million kilowatthours,Kansas,transportation,NA
1/1/2001,million kilowatthours,Kansas,other,38
1/1/2001,million kilowatthours,Minnesota,residential,1811
1/1/2001,million kilowatthours,Minnesota,commercial,2186
1/1/2001,million kilowatthours,Minnesota,industrial,1270
1/1/2001,million kilowatthours,Minnesota,transportation,NA
1/1/2001,million kilowatthours,Minnesota,other,63
1/1/2001,million kilowatthours,Missouri,residential,3234
1/1/2001,million kilowatthours,Missouri,commercial,2177
1/1/2001,million kilowatthours,Missouri,industrial,1418
1/1/2001,million kilowatthours,Missouri,transportation,NA
1/1/2001,million kilowatthours,Missouri,other,109
1/1/2001,million kilowatthours,Nebraska,residential,853
1/1/2001,million kilowatthours,Nebraska,commercial,604
1/1/2001,million kilowatthours,Nebraska,industrial,563
1/1/2001,million kilowatthours,Nebraska,transportation,NA
1/1/2001,million kilowatthours,Nebraska,other,113
1/1/2001,million kilowatthours,North Dakota,residential,394
1/1/2001,million kilowatthours,North Dakota,commercial,287
1/1/2001,million kilowatthours,North Dakota,industrial,231
1/1/2001,million kilowatthours,North Dakota,transportation,NA
1/1/2001,million kilowatthours,North Dakota,other,45
1/1/2001,million kilowatthours,South Dakota,residential,376
1/1/2001,million kilowatthours,South Dakota,commercial,268
1/1/2001,million kilowatthours,South Dakota,industrial,120
1/1/2001,million kilowatthours,South Dakota,transportation,NA
1/1/2001,million kilowatthours,South Dakota,other,40
1/1/2001,million kilowatthours,Delaware,residential,417
1/1/2001,million kilowatthours,Delaware,commercial,314
1/1/2001,million kilowatthours,Delaware,industrial,331
1/1/2001,million kilowatthours,Delaware,transportation,NA
1/1/2001,million kilowatthours,Delaware,other,6
1/1/2001,million kilowatthours,District Of Columbia,residential,201
1/1/2001,million kilowatthours,District Of Columbia,commercial,672
1/1/2001,million kilowatthours,District Of Columbia,industrial,21
1/1/2001,million kilowatthours,District Of Columbia,transportation,NA
1/1/2001,million kilowatthours,District Of Columbia,other,29
1/1/2001,million kilowatthours,Florida,residential,10458
1/1/2001,million kilowatthours,Florida,commercial,5791
1/1/2001,million kilowatthours,Florida,industrial,1683
1/1/2001,million kilowatthours,Florida,transportation,NA
1/1/2001,million kilowatthours,Florida,other,444
1/1/2001,million kilowatthours,Georgia,residential,4840
1/1/2001,million kilowatthours,Georgia,commercial,3217
1/1/2001,million kilowatthours,Georgia,industrial,2787
1/1/2001,million kilowatthours,Georgia,transportation,NA
1/1/2001,million kilowatthours,Georgia,other,135
1/1/2001,million kilowatthours,Maryland,residential,2782
1/1/2001,million kilowatthours,Maryland,commercial,2253
1/1/2001,million kilowatthours,Maryland,industrial,809
1/1/2001,million kilowatthours,Maryland,transportation,NA
1/1/2001,million kilowatthours,Maryland,other,76
1/1/2001,million kilowatthours,North Carolina,residential,5555
1/1/2001,million kilowatthours,North Carolina,commercial,3178
1/1/2001,million kilowatthours,North Carolina,industrial,2694
1/1/2001,million kilowatthours,North Carolina,transportation,NA
1/1/2001,million kilowatthours,North Carolina,other,174
1/1/2001,million kilowatthours,South Carolina,residential,3066
1/1/2001,million kilowatthours,South Carolina,commercial,1471
1/1/2001,million kilowatthours,South Carolina,industrial,2509
1/1/2001,million kilowatthours,South Carolina,transportation,NA
1/1/2001,million kilowatthours,South Carolina,other,80
1/1/2001,million kilowatthours,Virginia,residential,4514
1/1/2001,million kilowatthours,Virginia,commercial,2542
1/1/2001,million kilowatthours,Virginia,industrial,1623
1/1/2001,million kilowatthours,Virginia,transportation,NA
1/1/2001,million kilowatthours,Virginia,other,897
1/1/2001,million kilowatthours,West Virginia,residential,1304
1/1/2001,million kilowatthours,West Virginia,commercial,654
1/1/2001,million kilowatthours,West Virginia,industrial,1008
1/1/2001,million kilowatthours,West Virginia,transportation,NA
1/1/2001,million kilowatthours,West Virginia,other,7
1/1/2001,million kilowatthours,Alabama,residential,3263
1/1/2001,million kilowatthours,Alabama,commercial,1525
1/1/2001,million kilowatthours,Alabama,industrial,2515
1/1/2001,million kilowatthours,Alabama,transportation,NA
1/1/2001,million kilowatthours,Alabama,other,59
1/1/2001,million kilowatthours,Kentucky,residential,2921
1/1/2001,million kilowatthours,Kentucky,commercial,1373
1/1/2001,million kilowatthours,Kentucky,industrial,3071
1/1/2001,million kilowatthours,Kentucky,transportation,NA
1/1/2001,million kilowatthours,Kentucky,other,275
1/1/2001,million kilowatthours,Mississippi,residential,1758
1/1/2001,million kilowatthours,Mississippi,commercial,893
1/1/2001,million kilowatthours,Mississippi,industrial,1230
1/1/2001,million kilowatthours,Mississippi,transportation,NA
1/1/2001,million kilowatthours,Mississippi,other,66
1/1/2001,million kilowatthours,Tennessee,residential,4629
1/1/2001,million kilowatthours,Tennessee,commercial,1990
1/1/2001,million kilowatthours,Tennessee,industrial,2937
1/1/2001,million kilowatthours,Tennessee,transportation,NA
1/1/2001,million kilowatthours,Tennessee,other,92
1/1/2001,million kilowatthours,Arkansas,residential,1619
1/1/2001,million kilowatthours,Arkansas,commercial,794
1/1/2001,million kilowatthours,Arkansas,industrial,1331
1/1/2001,million kilowatthours,Arkansas,transportation,NA
1/1/2001,million kilowatthours,Arkansas,other,60
1/1/2001,million kilowatthours,Louisiana,residential,2453
1/1/2001,million kilowatthours,Louisiana,commercial,1437
1/1/2001,million kilowatthours,Louisiana,industrial,2470
1/1/2001,million kilowatthours,Louisiana,transportation,NA
1/1/2001,million kilowatthours,Louisiana,other,212
1/1/2001,million kilowatthours,Oklahoma,residential,1980
1/1/2001,million kilowatthours,Oklahoma,commercial,1056
1/1/2001,million kilowatthours,Oklahoma,industrial,997
1/1/2001,million kilowatthours,Oklahoma,transportation,NA
1/1/2001,million kilowatthours,Oklahoma,other,238
1/1/2001,million kilowatthours,Texas,residential,11439
1/1/2001,million kilowatthours,Texas,commercial,7027
1/1/2001,million kilowatthours,Texas,industrial,7969
1/1/2001,million kilowatthours,Texas,transportation,NA
1/1/2001,million kilowatthours,Texas,other,1149
1/1/2001,million kilowatthours,Arizona,residential,2063
1/1/2001,million kilowatthours,Arizona,commercial,1614
1/1/2001,million kilowatthours,Arizona,industrial,922
1/1/2001,million kilowatthours,Arizona,transportation,NA
1/1/2001,million kilowatthours,Arizona,other,189
1/1/2001,million kilowatthours,Colorado,residential,1421
1/1/2001,million kilowatthours,Colorado,commercial,1476
1/1/2001,million kilowatthours,Colorado,industrial,893
1/1/2001,million kilowatthours,Colorado,transportation,NA
1/1/2001,million kilowatthours,Colorado,other,77
1/1/2001,million kilowatthours,Idaho,residential,849
1/1/2001,million kilowatthours,Idaho,commercial,480
1/1/2001,million kilowatthours,Idaho,industrial,671
1/1/2001,million kilowatthours,Idaho,transportation,NA
1/1/2001,million kilowatthours,Idaho,other,29
1/1/2001,million kilowatthours,Montana,residential,441
1/1/2001,million kilowatthours,Montana,commercial,342
1/1/2001,million kilowatthours,Montana,industrial,363
1/1/2001,million kilowatthours,Montana,transportation,NA
1/1/2001,million kilowatthours,Montana,other,27
1/1/2001,million kilowatthours,Nevada,residential,756
1/1/2001,million kilowatthours,Nevada,commercial,507
1/1/2001,million kilowatthours,Nevada,industrial,835
1/1/2001,million kilowatthours,Nevada,transportation,NA
1/1/2001,million kilowatthours,Nevada,other,39
1/1/2001,million kilowatthours,New Mexico,residential,482
1/1/2001,million kilowatthours,New Mexico,commercial,515
1/1/2001,million kilowatthours,New Mexico,industrial,480
1/1/2001,million kilowatthours,New Mexico,transportation,NA
1/1/2001,million kilowatthours,New Mexico,other,125
1/1/2001,million kilowatthours,Utah,residential,584
1/1/2001,million kilowatthours,Utah,commercial,664
1/1/2001,million kilowatthours,Utah,industrial,723
1/1/2001,million kilowatthours,Utah,transportation,NA
1/1/2001,million kilowatthours,Utah,other,69
1/1/2001,million kilowatthours,Wyoming,residential,251
1/1/2001,million kilowatthours,Wyoming,commercial,247
1/1/2001,million kilowatthours,Wyoming,industrial,602
1/1/2001,million kilowatthours,Wyoming,transportation,NA
1/1/2001,million kilowatthours,Wyoming,other,16
1/1/2001,million kilowatthours,California,residential,7236
1/1/2001,million kilowatthours,California,commercial,7766
1/1/2001,million kilowatthours,California,industrial,5816
1/1/2001,million kilowatthours,California,transportation,NA
1/1/2001,million kilowatthours,California,other,927
1/1/2001,million kilowatthours,Oregon,residential,2133
1/1/2001,million kilowatthours,Oregon,commercial,1335
1/1/2001,million kilowatthours,Oregon,industrial,1315
1/1/2001,million kilowatthours,Oregon,transportation,NA
1/1/2001,million kilowatthours,Oregon,other,44
1/1/2001,million kilowatthours,Washington,residential,3968
1/1/2001,million kilowatthours,Washington,commercial,2216
1/1/2001,million kilowatthours,Washington,industrial,2689
1/1/2001,million kilowatthours,Washington,transportation,NA
1/1/2001,million kilowatthours,Washington,other,332
1/1/2001,million kilowatthours,Alaska,residential,206
1/1/2001,million kilowatthours,Alaska,commercial,208
1/1/2001,million kilowatthours,Alaska,industrial,89
1/1/2001,million kilowatthours,Alaska,transportation,NA
1/1/2001,million kilowatthours,Alaska,other,18
1/1/2001,million kilowatthours,Hawaii,residential,248
1/1/2001,million kilowatthours,Hawaii,commercial,249
1/1/2001,million kilowatthours,Hawaii,industrial,317
1/1/2001,million kilowatthours,Hawaii,transportation,NA
1/1/2001,million kilowatthours,Hawaii,other,5
2/1/2001,million kilowatthours,Connecticut,residential,985
2/1/2001,million kilowatthours,Connecticut,commercial,914
2/1/2001,million kilowatthours,Connecticut,industrial,494
2/1/2001,million kilowatthours,Connecticut,transportation,NA
2/1/2001,million kilowatthours,Connecticut,other,45
2/1/2001,million kilowatthours,Maine,residential,323
2/1/2001,million kilowatthours,Maine,commercial,363
2/1/2001,million kilowatthours,Maine,industrial,316
2/1/2001,million kilowatthours,Maine,transportation,NA
2/1/2001,million kilowatthours,Maine,other,7
2/1/2001,million kilowatthours,Massachusetts,residential,1492
2/1/2001,million kilowatthours,Massachusetts,commercial,1838
2/1/2001,million kilowatthours,Massachusetts,industrial,812
2/1/2001,million kilowatthours,Massachusetts,transportation,NA
2/1/2001,million kilowatthours,Massachusetts,other,53
2/1/2001,million kilowatthours,New Hampshire,residential,319
2/1/2001,million kilowatthours,New Hampshire,commercial,294
2/1/2001,million kilowatthours,New Hampshire,industrial,219
2/1/2001,million kilowatthours,New Hampshire,transportation,NA
2/1/2001,million kilowatthours,New Hampshire,other,11
2/1/2001,million kilowatthours,Rhode Island,residential,218
2/1/2001,million kilowatthours,Rhode Island,commercial,256
2/1/2001,million kilowatthours,Rhode Island,industrial,105
2/1/2001,million kilowatthours,Rhode Island,transportation,NA
2/1/2001,million kilowatthours,Rhode Island,other,9
2/1/2001,million kilowatthours,Vermont,residential,187
2/1/2001,million kilowatthours,Vermont,commercial,154
2/1/2001,million kilowatthours,Vermont,industrial,132
2/1/2001,million kilowatthours,Vermont,transportation,NA
2/1/2001,million kilowatthours,Vermont,other,3
2/1/2001,million kilowatthours,New Jersey,residential,2015
2/1/2001,million kilowatthours,New Jersey,commercial,2614
2/1/2001,million kilowatthours,New Jersey,industrial,997
2/1/2001,million kilowatthours,New Jersey,transportation,NA
2/1/2001,million kilowatthours,New Jersey,other,44
2/1/2001,million kilowatthours,New York,residential,3702
2/1/2001,million kilowatthours,New York,commercial,4836
2/1/2001,million kilowatthours,New York,industrial,2331
2/1/2001,million kilowatthours,New York,transportation,NA
2/1/2001,million kilowatthours,New York,other,1149
2/1/2001,million kilowatthours,Pennsylvania,residential,4134
2/1/2001,million kilowatthours,Pennsylvania,commercial,3332
2/1/2001,million kilowatthours,Pennsylvania,industrial,4247
2/1/2001,million kilowatthours,Pennsylvania,transportation,NA
2/1/2001,million kilowatthours,Pennsylvania,other,131
2/1/2001,million kilowatthours,Illinois,residential,3347
2/1/2001,million kilowatthours,Illinois,commercial,3564
2/1/2001,million kilowatthours,Illinois,industrial,3900
2/1/2001,million kilowatthours,Illinois,transportation,NA
2/1/2001,million kilowatthours,Illinois,other,865
2/1/2001,million kilowatthours,Indiana,residential,2504
2/1/2001,million kilowatthours,Indiana,commercial,1973
2/1/2001,million kilowatthours,Indiana,industrial,3511
2/1/2001,million kilowatthours,Indiana,transportation,NA
2/1/2001,million kilowatthours,Indiana,other,40
2/1/2001,million kilowatthours,Michigan,residential,2513
2/1/2001,million kilowatthours,Michigan,commercial,2539
2/1/2001,million kilowatthours,Michigan,industrial,2800
2/1/2001,million kilowatthours,Michigan,transportation,NA
2/1/2001,million kilowatthours,Michigan,other,79
2/1/2001,million kilowatthours,Ohio,residential,4012
2/1/2001,million kilowatthours,Ohio,commercial,3006
2/1/2001,million kilowatthours,Ohio,industrial,5894
2/1/2001,million kilowatthours,Ohio,transportation,NA
2/1/2001,million kilowatthours,Ohio,other,318
2/1/2001,million kilowatthours,Wisconsin,residential,1695
2/1/2001,million kilowatthours,Wisconsin,commercial,1507
2/1/2001,million kilowatthours,Wisconsin,industrial,1970
2/1/2001,million kilowatthours,Wisconsin,transportation,NA
2/1/2001,million kilowatthours,Wisconsin,other,58
2/1/2001,million kilowatthours,Iowa,residential,1001
2/1/2001,million kilowatthours,Iowa,commercial,659
2/1/2001,million kilowatthours,Iowa,industrial,1272
2/1/2001,million kilowatthours,Iowa,transportation,NA
2/1/2001,million kilowatthours,Iowa,other,172
2/1/2001,million kilowatthours,Kansas,residential,867
2/1/2001,million kilowatthours,Kansas,commercial,908
2/1/2001,million kilowatthours,Kansas,industrial,814
2/1/2001,million kilowatthours,Kansas,transportation,NA
2/1/2001,million kilowatthours,Kansas,other,35
2/1/2001,million kilowatthours,Minnesota,residential,1628
2/1/2001,million kilowatthours,Minnesota,commercial,1598
2/1/2001,million kilowatthours,Minnesota,industrial,1523
2/1/2001,million kilowatthours,Minnesota,transportation,NA
2/1/2001,million kilowatthours,Minnesota,other,57
2/1/2001,million kilowatthours,Missouri,residential,2727
2/1/2001,million kilowatthours,Missouri,commercial,1983
2/1/2001,million kilowatthours,Missouri,industrial,1188
2/1/2001,million kilowatthours,Missouri,transportation,NA
2/1/2001,million kilowatthours,Missouri,other,83
2/1/2001,million kilowatthours,Nebraska,residential,771
2/1/2001,million kilowatthours,Nebraska,commercial,558
2/1/2001,million kilowatthours,Nebraska,industrial,571
2/1/2001,million kilowatthours,Nebraska,transportation,NA
2/1/2001,million kilowatthours,Nebraska,other,103
2/1/2001,million kilowatthours,North Dakota,residential,389
2/1/2001,million kilowatthours,North Dakota,commercial,273
2/1/2001,million kilowatthours,North Dakota,industrial,212
2/1/2001,million kilowatthours,North Dakota,transportation,NA
2/1/2001,million kilowatthours,North Dakota,other,43
2/1/2001,million kilowatthours,South Dakota,residential,344
2/1/2001,million kilowatthours,South Dakota,commercial,242
2/1/2001,million kilowatthours,South Dakota,industrial,122
2/1/2001,million kilowatthours,South Dakota,transportation,NA
2/1/2001,million kilowatthours,South Dakota,other,38
2/1/2001,million kilowatthours,Delaware,residential,350
2/1/2001,million kilowatthours,Delaware,commercial,301
2/1/2001,million kilowatthours,Delaware,industrial,403
2/1/2001,million kilowatthours,Delaware,transportation,NA
2/1/2001,million kilowatthours,Delaware,other,4
2/1/2001,million kilowatthours,District Of Columbia,residential,155
2/1/2001,million kilowatthours,District Of Columbia,commercial,622
2/1/2001,million kilowatthours,District Of Columbia,industrial,20
2/1/2001,million kilowatthours,District Of Columbia,transportation,NA
2/1/2001,million kilowatthours,District Of Columbia,other,27
2/1/2001,million kilowatthours,Florida,residential,7892
2/1/2001,million kilowatthours,Florida,commercial,5374
2/1/2001,million kilowatthours,Florida,industrial,1584
2/1/2001,million kilowatthours,Florida,transportation,NA
2/1/2001,million kilowatthours,Florida,other,414
2/1/2001,million kilowatthours,Georgia,residential,3398
2/1/2001,million kilowatthours,Georgia,commercial,2722
2/1/2001,million kilowatthours,Georgia,industrial,2671
2/1/2001,million kilowatthours,Georgia,transportation,NA
2/1/2001,million kilowatthours,Georgia,other,127
2/1/2001,million kilowatthours,Maryland,residential,2214
2/1/2001,million kilowatthours,Maryland,commercial,1911
2/1/2001,million kilowatthours,Maryland,industrial,759
2/1/2001,million kilowatthours,Maryland,transportation,NA
2/1/2001,million kilowatthours,Maryland,other,70
2/1/2001,million kilowatthours,North Carolina,residential,4136
2/1/2001,million kilowatthours,North Carolina,commercial,2779
2/1/2001,million kilowatthours,North Carolina,industrial,2423
2/1/2001,million kilowatthours,North Carolina,transportation,NA
2/1/2001,million kilowatthours,North Carolina,other,187
2/1/2001,million kilowatthours,South Carolina,residential,2170
2/1/2001,million kilowatthours,South Carolina,commercial,1324
2/1/2001,million kilowatthours,South Carolina,industrial,2586
2/1/2001,million kilowatthours,South Carolina,transportation,NA
2/1/2001,million kilowatthours,South Carolina,other,72
2/1/2001,million kilowatthours,Virginia,residential,3369
2/1/2001,million kilowatthours,Virginia,commercial,2145
2/1/2001,million kilowatthours,Virginia,industrial,1512
2/1/2001,million kilowatthours,Virginia,transportation,NA
2/1/2001,million kilowatthours,Virginia,other,794
2/1/2001,million kilowatthours,West Virginia,residential,989
2/1/2001,million kilowatthours,West Virginia,commercial,541
2/1/2001,million kilowatthours,West Virginia,industrial,875
2/1/2001,million kilowatthours,West Virginia,transportation,NA
2/1/2001,million kilowatthours,West Virginia,other,6
2/1/2001,million kilowatthours,Alabama,residential,2110
2/1/2001,million kilowatthours,Alabama,commercial,1346
2/1/2001,million kilowatthours,Alabama,industrial,2532
2/1/2001,million kilowatthours,Alabama,transportation,NA
2/1/2001,million kilowatthours,Alabama,other,53
2/1/2001,million kilowatthours,Kentucky,residential,2052
2/1/2001,million kilowatthours,Kentucky,commercial,961
2/1/2001,million kilowatthours,Kentucky,industrial,3040
2/1/2001,million kilowatthours,Kentucky,transportation,NA
2/1/2001,million kilowatthours,Kentucky,other,244
2/1/2001,million kilowatthours,Mississippi,residential,1300
2/1/2001,million kilowatthours,Mississippi,commercial,817
2/1/2001,million kilowatthours,Mississippi,industrial,1187
2/1/2001,million kilowatthours,Mississippi,transportation,NA
2/1/2001,million kilowatthours,Mississippi,other,62
2/1/2001,million kilowatthours,Tennessee,residential,3528
2/1/2001,million kilowatthours,Tennessee,commercial,2089
2/1/2001,million kilowatthours,Tennessee,industrial,2637
2/1/2001,million kilowatthours,Tennessee,transportation,NA
2/1/2001,million kilowatthours,Tennessee,other,90
2/1/2001,million kilowatthours,Arkansas,residential,1216
2/1/2001,million kilowatthours,Arkansas,commercial,618
2/1/2001,million kilowatthours,Arkansas,industrial,1371
2/1/2001,million kilowatthours,Arkansas,transportation,NA
2/1/2001,million kilowatthours,Arkansas,other,53
2/1/2001,million kilowatthours,Louisiana,residential,1870
2/1/2001,million kilowatthours,Louisiana,commercial,1282
2/1/2001,million kilowatthours,Louisiana,industrial,2457
2/1/2001,million kilowatthours,Louisiana,transportation,NA
2/1/2001,million kilowatthours,Louisiana,other,193
2/1/2001,million kilowatthours,Oklahoma,residential,1441
2/1/2001,million kilowatthours,Oklahoma,commercial,942
2/1/2001,million kilowatthours,Oklahoma,industrial,1023
2/1/2001,million kilowatthours,Oklahoma,transportation,NA
2/1/2001,million kilowatthours,Oklahoma,other,220
2/1/2001,million kilowatthours,Texas,residential,8755
2/1/2001,million kilowatthours,Texas,commercial,6322
2/1/2001,million kilowatthours,Texas,industrial,8042
2/1/2001,million kilowatthours,Texas,transportation,NA
2/1/2001,million kilowatthours,Texas,other,1051
2/1/2001,million kilowatthours,Arizona,residential,1790
2/1/2001,million kilowatthours,Arizona,commercial,1592
2/1/2001,million kilowatthours,Arizona,industrial,851
2/1/2001,million kilowatthours,Arizona,transportation,NA
2/1/2001,million kilowatthours,Arizona,other,183
2/1/2001,million kilowatthours,Colorado,residential,1158
2/1/2001,million kilowatthours,Colorado,commercial,1335
2/1/2001,million kilowatthours,Colorado,industrial,846
2/1/2001,million kilowatthours,Colorado,transportation,NA
2/1/2001,million kilowatthours,Colorado,other,71
2/1/2001,million kilowatthours,Idaho,residential,721
2/1/2001,million kilowatthours,Idaho,commercial,417
2/1/2001,million kilowatthours,Idaho,industrial,579
2/1/2001,million kilowatthours,Idaho,transportation,NA
2/1/2001,million kilowatthours,Idaho,other,26
2/1/2001,million kilowatthours,Montana,residential,374
2/1/2001,million kilowatthours,Montana,commercial,318
2/1/2001,million kilowatthours,Montana,industrial,289
2/1/2001,million kilowatthours,Montana,transportation,NA
2/1/2001,million kilowatthours,Montana,other,26
2/1/2001,million kilowatthours,Nevada,residential,603
2/1/2001,million kilowatthours,Nevada,commercial,451
2/1/2001,million kilowatthours,Nevada,industrial,781
2/1/2001,million kilowatthours,Nevada,transportation,NA
2/1/2001,million kilowatthours,Nevada,other,48
2/1/2001,million kilowatthours,New Mexico,residential,425
2/1/2001,million kilowatthours,New Mexico,commercial,487
2/1/2001,million kilowatthours,New Mexico,industrial,444
2/1/2001,million kilowatthours,New Mexico,transportation,NA
2/1/2001,million kilowatthours,New Mexico,other,111
2/1/2001,million kilowatthours,Utah,residential,535
2/1/2001,million kilowatthours,Utah,commercial,616
2/1/2001,million kilowatthours,Utah,industrial,591
2/1/2001,million kilowatthours,Utah,transportation,NA
2/1/2001,million kilowatthours,Utah,other,65
2/1/2001,million kilowatthours,Wyoming,residential,214
2/1/2001,million kilowatthours,Wyoming,commercial,240
2/1/2001,million kilowatthours,Wyoming,industrial,658
2/1/2001,million kilowatthours,Wyoming,transportation,NA
2/1/2001,million kilowatthours,Wyoming,other,16
2/1/2001,million kilowatthours,California,residential,6126
2/1/2001,million kilowatthours,California,commercial,6637
2/1/2001,million kilowatthours,California,industrial,4716
2/1/2001,million kilowatthours,California,transportation,NA
2/1/2001,million kilowatthours,California,other,826
2/1/2001,million kilowatthours,Oregon,residential,1875
2/1/2001,million kilowatthours,Oregon,commercial,1246
2/1/2001,million kilowatthours,Oregon,industrial,1298
2/1/2001,million kilowatthours,Oregon,transportation,NA
2/1/2001,million kilowatthours,Oregon,other,40
2/1/2001,million kilowatthours,Washington,residential,3560
2/1/2001,million kilowatthours,Washington,commercial,2195
2/1/2001,million kilowatthours,Washington,industrial,2270
2/1/2001,million kilowatthours,Washington,transportation,NA
2/1/2001,million kilowatthours,Washington,other,291
2/1/2001,million kilowatthours,Alaska,residential,175
2/1/2001,million kilowatthours,Alaska,commercial,197
2/1/2001,million kilowatthours,Alaska,industrial,89
2/1/2001,million kilowatthours,Alaska,transportation,NA
2/1/2001,million kilowatthours,Alaska,other,25
2/1/2001,million kilowatthours,Hawaii,residential,204
2/1/2001,million kilowatthours,Hawaii,commercial,231
2/1/2001,million kilowatthours,Hawaii,industrial,283
2/1/2001,million kilowatthours,Hawaii,transportation,NA
2/1/2001,million kilowatthours,Hawaii,other,5
3/1/2001,million kilowatthours,Connecticut,residential,1054
3/1/2001,million kilowatthours,Connecticut,commercial,1047
3/1/2001,million kilowatthours,Connecticut,industrial,430
3/1/2001,million kilowatthours,Connecticut,transportation,NA
3/1/2001,million kilowatthours,Connecticut,other,45
3/1/2001,million kilowatthours,Maine,residential,350
3/1/2001,million kilowatthours,Maine,commercial,370
3/1/2001,million kilowatthours,Maine,industrial,284
3/1/2001,million kilowatthours,Maine,transportation,NA
3/1/2001,million kilowatthours,Maine,other,5
3/1/2001,million kilowatthours,Massachusetts,residential,1629
3/1/2001,million kilowatthours,Massachusetts,commercial,2016
3/1/2001,million kilowatthours,Massachusetts,industrial,798
3/1/2001,million kilowatthours,Massachusetts,transportation,NA
3/1/2001,million kilowatthours,Massachusetts,other,53
3/1/2001,million kilowatthours,New Hampshire,residential,344
3/1/2001,million kilowatthours,New Hampshire,commercial,316
3/1/2001,million kilowatthours,New Hampshire,industrial,205
3/1/2001,million kilowatthours,New Hampshire,transportation,NA
